name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
杰伦·布伦森,Jalen Brunson,PG,1,1,93,90,95,86,86,55,73,32,51,90,40,25,98,40,35,82,81,95,75,98
卡尔-安东尼·唐斯,Karl-Anthony Towns,C,4,1,90,80,69,83,90,71,50,68,96,65,43,68,82,85,75,82,82,90,65,88
米卡尔·布里奇斯,Mikal Bridges,SG,1,1,86,95,92,85,85,69,88,43,52,78,90,77,75,40,75,84,84,75,85,60
OG·阿努诺比,OG Anunoby,SF,4,1,85,78,61,83,76,81,90,51,63,49,93,62,75,60,85,82,81,80,90,60
乔什·哈特,Josh Hart,PF,1,1,81,82,75,81,79,78,86,60,85,73,66,50,84,25,70,83,82,55,80,44
米切尔·罗宾逊,Mitchell Robinson,C,2,2,78,75,68,32,37,83,49,98,77,51,83,87,66,85,80,73,80,35,80,41
兰德里·沙梅特,Landry Shamet,PG,5,2,77,89,89,88,84,25,60,36,46,62,37,35,79,35,70,76,81,75,35,69
迈尔斯·麦克布莱德,Miles McBride,SG,1,2,77,80,90,84,82,40,81,45,45,68,56,42,80,25,65,77,80,70,75,55
乔丹·克拉克森,Jordan Clarkson,SF,5,2,77,94,82,82,86,43,58,52,39,65,36,50,82,25,70,75,83,75,40,60
盖尔雄·雅布塞莱,Guerschon Yabusele,PF,4,2,74,77,67,75,74,62,66,63,66,57,43,52,80,50,85,71,84,65,40,45
泰勒·科莱克,Tyler Kolek,PG,5,3,73,82,82,78,83,32,73,37,42,77,73,52,82,25,45,77,80,35,50,45
特雷·杰米森,Trey Jemison III,C,2,3,71,83,50,29,39,71,37,78,65,41,66,76,60,75,75,72,82,50,65,40
阿里尔·胡克波蒂,Ariel Hukporti,C,2,3,71,63,57,47,61,74,37,69,73,40,25,90,59,75,75,65,82,35,45,50
托桑·埃夫布姆万,Tosan Evbuomwan,PF,1,3,70,85,72,72,76,57,57,52,64,58,40,53,76,40,65,72,85,50,50,35
帕科姆·达迪耶,Pacome Dadiet,SF,5,3,69,70,76,75,75,50,69,25,71,49,50,50,72,40,75,72,80,40,50,37
凯文·麦卡勒,Kevin McCullar Jr.,SG,3,3,69,76,75,74,79,52,72,44,55,56,56,63,76,45,75,76,80,40,50,45
穆罕默德·迪亚瓦拉,Mohamed Diawara,PF,1,3,68,69,67,69,55,64,60,55,57,48,55,40,69,70,85,77,80,35,50,57
