name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
朱利叶斯·兰德尔,PF,1,1,89,88,86,86,81,77,73,70,89,75,40,40,92,85,80,81,84,98,75,88,1,julius-randle
米切尔·罗宾逊,C,2,1,82,72,68,32,48,83,49,87,73,48,63,90,79,90,80,69,80,80,80,58,0,mitchell-robinson
RJ·巴雷特,SF,1,1,83,69,77,84,73,58,77,42,64,72,38,42,84,45,80,80,80,85,60,68,0,rj-barrett
雷吉·布洛克,SG,5,1,75,77,87,85,86,50,56,30,55,63,41,40,71,40,50,69,80,70,60,50,0,reggie-bullock
埃尔弗里德·佩顿,PG,3,1,77,79,79,70,74,25,79,51,50,78,43,45,72,25,50,78,83,70,75,69,0,elfrid-payton
德里克·罗斯,PG,1,2,82,77,91,80,85,50,67,32,46,83,73,56,86,25,45,80,69,90,40,65,0,derrick-rose
纳伦斯·诺埃尔,C,2,2,80,84,69,30,65,76,45,79,79,42,66,95,72,90,75,74,76,70,60,69,0,nerlens-noel
亚历克·伯克斯,SF,1,2,78,77,82,84,84,45,72,35,66,69,42,51,78,40,69,75,85,75,55,70,0,alec-burks
泰·吉布森,PF,3,2,77,89,78,69,73,69,58,80,80,38,53,81,65,75,65,68,83,60,60,60,0,taj-gibson
伊曼纽尔·奎克利,SG,4,2,79,79,70,83,94,37,71,36,50,80,41,51,79,40,55,77,79,85,55,62,0,immanuel-quickley
奥比·托平,PF,4,3,75,80,78,73,70,66,48,43,65,52,38,62,70,85,90,78,88,70,40,50,0,obi-toppin
弗朗克·尼利基纳,PG,1,3,73,59,79,75,86,35,82,35,47,78,66,52,65,30,45,74,80,50,70,39,0,frank-ntilikina
凯文·诺克斯,SG,4,3,72,55,55,83,65,57,69,36,51,57,37,58,67,65,75,78,82,40,40,49,0,kevin-knox
诺维尔·佩莱,C,2,3,71,77,66,29,75,69,37,69,89,43,28,90,59,75,75,73,82,40,40,47,0,norvel-pelle
西奥·平森,SF,4,3,69,70,64,55,86,60,71,39,55,59,66,47,75,45,75,72,81,25,60,55,0,theo-pinson
