name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
扬尼斯·阿德托昆博,PF,3,1,96,80,79,73,68,87,95,52,90,85,59,73,98,85,91,91,91,98,95,97,0,giannis-antetokounmpo
朱·霍勒迪,SG,4,1,86,93,81,82,78,44,94,46,51,78,76,55,80,25,65,76,80,80,95,40,1,jrue-holiday
克里斯·米德尔顿,SF,1,1,85,91,88,86,89,72,85,37,65,74,46,35,84,40,65,76,90,85,80,50,1,khris-middleton
布鲁克·洛佩斯,C,4,1,79,95,83,76,85,92,45,52,57,44,37,84,70,80,65,64,79,55,90,50,0,brook-lopez
唐特·迪温琴佐,PG,4,1,76,60,63,81,74,58,82,48,66,71,56,42,73,25,75,80,81,70,80,45,0,donte-divincenzo
博比·波蒂斯,C,1,2,81,91,85,87,75,78,40,78,86,49,53,56,68,75,70,75,84,90,65,74,0,bobby-portis
帕特·康诺顿,PG,4,2,73,84,60,83,74,35,69,47,67,63,43,52,79,30,86,75,83,70,40,54,0,pat-connaughton
布林·福布斯,SG,5,2,76,82,99,87,78,44,58,30,43,51,36,25,79,35,40,69,83,85,30,59,0,bryn-forbes
萨纳西斯·阿德托昆博,SF,2,2,73,73,66,73,46,42,59,77,60,60,53,56,75,40,85,76,87,65,40,65,0,thanasis-antetokounmpo
PJ·塔克,PF,4,2,74,81,74,83,75,80,80,45,57,59,42,55,55,50,60,78,91,35,80,36,0,pj-tucker
罗季翁斯·库鲁茨,PF,4,3,71,60,70,79,78,49,62,43,65,54,46,37,70,40,65,71,87,60,40,45,0,rodions-kurucs
乔丹·沃拉,C,4,3,73,70,79,86,81,52,52,34,69,50,83,58,74,60,65,65,78,65,50,44,0,jordan-nwora
萨姆·梅里尔,PG,5,3,70,60,76,82,89,42,60,47,48,67,46,40,64,30,45,64,79,75,45,50,0,sam-merrill
阿克塞尔·图帕内,SF,4,3,69,77,73,80,79,55,70,38,40,54,58,56,80,40,60,70,78,50,75,25,0,axel-toupane
杰夫·蒂格,SG,1,3,74,79,69,83,86,25,78,33,46,79,46,51,70,25,70,80,86,50,70,60,0,jeff-teague
