name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
安东尼·戴维斯,Anthony Davis,PF,3,1,93,91,81,73,70,90,80,78,87,66,66,82,82,90,85,84,78,85,90,87
凯里·欧文,Kyrie Irving,PG,1,1,90,91,98,86,92,32,67,43,51,76,53,51,97,25,30,77,80,95,55,75
库珀·弗拉格,Cooper Flagg,SF,3,1,84,92,76,72,82,81,83,43,65,67,56,56,87,65,80,81,80,80,80,79
P.J·华盛顿,P.J. Washington,PF,1,2,80,85,76,75,68,83,85,47,79,53,42,71,75,65,80,77,79,60,80,44
纳吉·马绍尔,Naji Marshall,SF,1,2,79,98,77,74,80,52,60,42,63,63,59,32,82,45,70,70,80,80,40,69
德里克·莱夫利二世,Dereck Lively II,C,2,2,79,97,60,52,64,83,57,78,80,66,38,90,82,85,83,69,80,50,80,40
克莱·汤普森,Klay Thompson,SG,5,2,78,72,75,87,91,60,75,32,52,55,31,55,67,35,65,74,94,75,70,30
丹尼尔·加福德,Daniel Gafford,C,2,1,78,88,65,29,79,84,57,71,66,36,53,87,75,85,75,77,80,40,80,40
瑞安·内姆布哈德,Ryan Nembhard,PG,1,2,78,78,94,85,77,31,66,34,43,88,32,25,79,25,30,72,80,65,45,35
德安吉洛·拉塞尔,D’Angelo Russell,PG,4,3,77,95,88,76,71,40,57,35,53,84,40,37,85,25,45,71,83,55,45,67
布兰登·威廉姆斯,Brandon Williams,SG,1,3,77,78,85,73,80,33,62,39,47,78,93,45,84,25,50,74,81,70,45,66
马克斯·克里斯蒂,Max Christie,SG,5,1,77,66,84,90,83,44,80,27,53,57,35,52,74,35,80,82,80,65,75,41
丹特·埃克萨姆,Dante Exum,SF,5,3,75,83,73,84,74,27,78,30,47,72,63,51,75,25,60,73,83,50,75,52
德怀特·鲍威尔,Dwight Powell,C,2,3,73,92,69,78,73,74,45,67,54,56,46,73,70,75,65,76,83,45,65,83
杰登·哈迪,Jaden Hardy,SG,4,3,73,88,66,84,82,34,55,34,48,66,43,37,80,40,80,76,80,70,50,46
凯莱布·马丁,Caleb Martin,PF,4,3,73,77,71,76,63,68,75,66,55,57,53,58,84,25,70,74,80,40,70,48
穆萨·西塞,Moussa Cisse,C,2,3,72,67,44,25,41,75,44,94,68,35,36,95,67,80,80,72,82,25,60,40
迈尔斯·凯利,Miles Kelly,SG,5,3,68,69,74,77,83,44,60,41,46,55,40,32,70,40,70,70,80,40,60,48
