name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
德文·布克,Devin Booker,PG,1,1,91,96,97,81,89,58,75,40,47,78,40,37,95,30,75,82,81,95,65,87
杰伦·格林,Jalen Green,SG,4,1,83,81,74,82,83,45,64,33,59,73,41,47,85,40,91,83,80,85,55,70
狄龙·布鲁克斯,Dillon Brooks,PF,5,1,79,82,90,83,82,77,90,41,47,50,40,40,74,35,75,81,85,60,90,38
马克·威廉姆斯,Mark Williams,C,2,1,79,87,60,36,79,75,44,78,91,57,41,82,77,85,75,76,57,80,60,55
格雷森·阿伦,Grayson Allen,SF,5,1,76,76,70,87,81,35,72,37,52,64,49,51,85,25,70,75,82,65,45,69
尼克·理查兹,Nick Richards,C,2,2,76,86,79,25,74,75,47,86,89,35,32,81,62,75,75,75,84,45,70,40
罗伊斯·奥尼尔,Royce O’Neale,SF,5,2,75,65,70,83,73,68,80,41,69,57,53,56,80,55,70,73,82,60,75,59
瑞安·邓恩,Ryan Dunn,PF,4,2,75,95,66,74,48,76,80,58,59,49,42,67,75,55,80,82,80,35,80,30
卡曼·马卢阿赫,Khaman Maluach,C,1,3,74,75,66,50,76,81,63,72,65,44,83,85,71,85,80,69,80,35,75,40
乔丹·古德温,Jordan Goodwin,SG,4,2,73,84,65,79,87,47,71,66,60,65,83,62,78,25,35,70,80,50,70,66
贾里德·巴特勒,Jared Butler,PG,1,2,72,85,83,79,82,30,60,36,47,79,53,51,74,25,65,75,80,60,50,60
科林·吉莱斯皮,Collin Gillespie,PG,5,3,72,81,78,85,87,33,62,52,56,77,63,50,74,40,54,72,80,65,55,37
奥索·伊戈达罗,Oso Ighodaro,PF,2,3,72,95,40,35,56,62,47,60,67,51,41,63,74,80,80,81,80,40,45,37
奈杰尔·海斯-戴维斯,Nigel Hayes-Davis,SF,5,3,72,78,74,80,88,63,73,40,47,55,73,47,78,60,75,76,80,40,60,62
以赛亚·利弗斯,Isaiah Livers,PF,3,3,71,78,86,72,82,37,65,40,46,55,42,40,76,25,65,71,82,50,55,44
拉希尔·弗莱明,Rasheer Fleming,PF,1,3,70,74,74,75,74,67,40,60,64,49,64,68,74,70,75,78,80,40,55,42
科比·布雷亚,Kobe Brea,SG,5,3,68,72,74,84,89,48,59,41,57,57,42,45,71,40,60,70,80,50,50,30
CJ·亨特利,CJ Huntley,PF,1,3,68,74,73,72,69,63,51,69,70,47,42,59,78,75,80,68,80,40,45,45
