name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
凯文·杜兰特,Kevin Durant,SF,1,1,93,95,98,90,89,70,77,30,58,73,42,57,96,60,85,80,88,98,75,97
阿尔佩伦·申京,Alperen Sengun,C,3,1,88,87,78,85,74,72,63,70,78,79,49,66,82,70,80,74,80,95,65,79
阿门·汤普森,Amen Thompson,SG,3,1,87,71,71,68,76,78,93,61,64,76,75,66,90,60,96,87,80,65,95,44
弗雷德·范弗里特,Fred VanVleet,PG,5,1,80,75,82,78,81,27,80,33,49,79,66,51,70,25,35,78,82,60,80,55
塔里·伊森,Tari Eason,SF,1,2,80,68,68,84,77,78,85,61,68,45,69,58,82,35,80,80,80,40,80,44
小贾巴里·史密斯,Jabari Smith Jr.,PF,4,1,80,96,79,81,83,70,69,46,68,54,40,63,75,75,85,76,80,75,55,54
里德·谢泼德,Reed Sheppard,PG,5,2,79,91,77,86,84,54,78,31,53,75,90,53,79,25,70,85,80,70,70,62
多里安·芬尼-史密斯,Dorian Finney-Smith,PF,4,2,77,80,71,83,64,72,83,50,52,55,43,51,84,40,84,75,81,65,75,58
克林特·卡佩拉,Clint Capela,C,2,2,77,83,50,25,54,83,47,91,90,34,40,80,70,80,75,68,83,30,80,34
约什·奥科吉,Josh Okogie,SG,5,2,77,69,78,84,82,50,77,48,41,54,92,42,77,30,75,83,82,70,70,49
史蒂文·亚当斯,Steven Adams,C,2,3,77,82,65,26,74,80,55,97,79,57,49,72,69,70,70,69,82,45,70,59
杰夫·格林,Jeff Green,PF,1,3,73,88,75,76,82,69,70,41,49,54,32,62,79,65,70,77,82,50,60,51
阿隆·霍勒迪,Aaron Holiday,PG,5,3,73,92,89,83,83,34,68,33,47,71,43,50,70,25,60,71,84,50,45,47
杰肖恩·泰特,Jae’Sean Tate,SF,1,3,72,84,70,76,69,70,70,65,55,60,70,42,84,65,75,77,80,40,65,54
JD·戴维森,JD Davison,PG,5,3,69,70,73,71,73,25,56,36,55,73,69,61,72,25,85,73,80,50,45,40
凯冯·哈里斯,Kevon Harris,SF,5,3,68,75,72,81,76,60,62,59,51,52,53,51,75,40,75,74,80,60,45,49
以赛亚·克劳福德,Isaiah Crawford,SF,5,3,68,71,74,78,73,55,57,54,59,44,45,44,70,50,65,70,80,50,40,45
