name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
保罗·班切罗,Paolo Banchero,PF,1,1,90,86,79,79,71,68,66,42,82,75,40,56,90,75,85,82,80,98,45,89
弗朗茨·瓦格纳,Franz Wagner,SF,1,1,86,91,76,75,86,56,73,40,68,79,53,50,93,55,80,75,80,95,70,95
贾伦·萨格斯,Jalen Suggs,PG,5,1,82,82,79,79,88,55,91,37,62,75,76,72,82,40,80,83,80,65,85,55
德斯蒙德·贝恩,Desmond Bane,SG,5,1,81,84,95,85,88,59,79,40,47,71,40,45,77,35,75,77,78,75,70,43
小温德尔·卡特,Wendell Carter Jr.,C,1,1,79,79,80,76,74,78,47,68,84,56,41,62,78,80,75,74,81,55,70,75
安东尼·布莱克,Anthony Black,SG,1,2,79,82,78,79,75,63,84,40,52,75,66,66,85,35,75,79,80,50,80,64
戈加·比塔泽,Goga Bitadze,C,2,2,76,97,72,69,64,78,25,83,86,60,49,89,50,75,65,66,80,40,80,40
特里斯坦·达·席尔瓦,Tristan da Silva,PF,4,3,76,89,81,76,86,64,64,49,57,57,37,51,79,60,65,76,80,50,50,45
莫里茨·瓦格纳,Moritz Wagner,PF,1,2,75,96,78,80,72,58,40,65,85,54,66,62,75,75,65,76,81,80,35,40
泰厄斯·琼斯,Tyus Jones,PG,5,2,74,93,71,76,89,30,67,36,43,81,43,32,89,25,30,68,84,40,50,70
乔纳森·艾萨克,Jonathan Isaac,SF,4,2,73,74,44,64,67,83,83,78,79,45,86,91,67,60,70,73,67,30,80,30
奥兰多·罗宾逊,Orlando Robinson,C,1,3,72,75,69,76,80,62,36,80,71,53,38,61,70,70,60,67,77,35,60,38
杰特·霍华德,Jett Howard,SF,3,3,72,75,88,77,75,55,67,43,47,58,36,56,74,35,65,73,80,50,45,47
诺亚·彭达,Noah Penda,SG,1,3,72,67,68,76,73,52,73,54,58,64,67,52,70,50,75,76,80,50,65,57
贾马尔·凯恩,Jamal Cain,SF,4,3,70,81,59,71,63,60,68,51,56,41,49,68,80,65,70,69,83,65,50,40
科林·卡斯尔顿,Colin Castleton,C,1,3,70,78,70,69,83,62,32,80,69,49,37,65,64,65,65,67,80,45,50,38
杰斯·理查德森,Jase Richardson,PG,5,3,70,77,79,83,84,33,67,30,44,67,67,37,76,40,75,78,80,45,55,54
