name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
布拉德利·比尔,SG,1,1,90,96,94,84,90,45,66,44,55,81,53,50,95,30,84,80,82,98,40,90,1,bradley-beal
拉塞尔·威斯布鲁克,PG,1,1,86,70,77,70,60,42,83,49,87,89,42,47,88,30,86,92,92,85,80,82,0,russell-westbrook
八村垒,PF,1,1,77,82,84,72,77,60,54,43,65,56,38,30,78,80,80,80,80,70,35,55,0,rui-hachimura
托马斯·布莱恩特,C,4,1,80,92,84,82,69,63,40,68,70,44,33,66,72,75,65,74,82,95,50,68,0,thomas-bryant
德尼·阿夫迪亚,SF,4,1,74,83,75,79,58,62,69,35,78,65,42,42,73,40,75,78,84,45,55,30,0,deni-avdija
戴维斯·贝尔坦斯,PF,4,2,77,78,70,82,86,64,40,34,52,46,40,45,69,65,65,65,68,70,50,65,0,davis-bertans
特洛伊·布朗,SF,4,2,73,78,71,73,75,48,72,42,76,64,30,45,70,30,70,73,81,55,55,65,0,troy-brown-jr
莫里茨·瓦格纳,C,4,2,77,89,78,76,73,58,40,43,72,50,59,57,70,75,65,78,81,80,35,54,0,moritz-wagner
杰罗姆·罗宾逊,SG,4,2,72,60,76,73,80,49,62,29,63,69,41,45,76,30,60,75,83,65,35,54,0,jerome-robinson
劳尔·内托,PG,4,2,76,90,82,80,83,40,73,36,49,72,80,32,74,25,25,73,79,70,70,64,0,raul-neto
伊萨克·邦加,SF,4,3,71,85,64,78,81,55,66,41,60,61,37,56,69,55,65,68,82,35,35,44,0,isaac-bonga
亚历克斯·莱恩,C,4,3,75,89,61,72,57,74,44,52,73,34,40,87,70,80,65,67,78,70,50,60,0,alex-len
伊斯梅尔·史密斯,PG,3,3,73,48,75,72,69,25,74,37,64,84,53,47,73,25,30,74,83,50,50,62,0,ish-smith
罗宾·洛佩斯,PF,2,3,76,95,73,76,70,70,55,77,50,38,33,66,78,75,60,63,82,70,70,53,0,robin-lopez
