name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
凯文·杜兰特,PF,1,1,96,98,98,91,88,68,85,64,78,83,37,72,95,60,85,81,88,98,85,94,1,kevin-durant
詹姆斯·哈登,SG,4,1,95,90,86,85,86,62,70,37,78,91,43,56,98,35,84,90,95,98,65,98,1,james-harden
凯里·欧文,PG,1,1,91,98,98,83,93,32,73,42,54,88,53,55,96,25,30,80,80,98,60,89,1,kyrie-irving
乔·哈里斯,SF,4,1,79,94,83,91,77,34,66,36,50,64,38,40,66,25,45,69,83,90,55,55,0,joe-harris
德安德烈·乔丹,C,2,1,79,74,25,25,51,80,57,74,87,41,33,83,57,97,85,81,94,40,80,69,0,deandre-jordan
斯潘塞·丁威迪,PG,4,2,83,74,66,76,78,42,74,33,48,87,37,47,92,35,45,73,77,98,70,94,0,spencer-dinwiddie
杰夫·格林,SF,4,2,76,79,70,81,79,69,70,35,59,62,37,52,85,65,80,75,82,65,60,65,0,jeff-green
布雷克·格里芬,PF,4,2,77,80,45,76,74,73,59,40,72,73,41,51,78,85,80,82,88,70,55,42,0,blake-griffin
布鲁斯·布朗,SG,3,2,78,86,76,71,74,58,77,67,67,68,59,53,80,30,70,81,84,75,65,65,0,bruce-brown-jr
尼克拉斯·克拉克斯顿,C,2,2,76,80,64,67,50,74,64,67,77,43,59,87,75,80,75,76,80,70,55,66,0,nicolas-claxton
兰德里·沙梅特,SG,5,3,74,78,74,83,86,25,60,29,45,68,38,40,74,35,50,77,81,60,35,52,0,landry-shamet
克里斯·奇奥萨,PG,4,3,72,69,73,75,76,31,68,34,49,78,46,58,70,25,30,71,81,50,45,40,0,chris-chiozza
雷吉·佩里,C,4,3,72,68,70,68,75,66,59,72,74,47,40,60,65,80,75,78,84,55,45,44,0,reggie-perry
蒂莫泰·卢瓦乌·卡巴罗,SF,4,3,71,53,65,74,81,55,75,40,50,65,43,37,78,40,75,75,81,45,45,55,0,timothe-luwawu-cabarrot
阿利兹·约翰逊,PF,2,3,74,68,72,69,74,64,44,90,88,60,41,58,72,70,70,67,85,35,35,40,0,alize-johnson
