name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
乔尔·恩比德,C,1,1,95,88,96,85,86,91,64,86,95,59,53,86,85,90,80,79,76,98,93,97,1,joel-embiid
本·西蒙斯,PG,2,1,86,86,46,58,67,79,87,64,85,84,87,74,90,83,86,88,83,90,90,90,0,ben-simmons
托拜厄斯·哈里斯,PF,4,1,87,95,93,86,89,59,58,45,75,74,38,61,85,65,75,77,82,90,60,73,1,tobias-harris
塞思·库里,SG,5,1,76,85,83,85,92,25,57,28,41,71,42,47,75,25,36,74,80,80,35,55,0,seth-curry
丹尼·格林,SF,4,1,75,82,64,85,65,66,87,42,49,62,63,63,67,40,45,73,82,40,85,35,0,danny-green
德怀特·霍华德,C,2,2,80,90,69,68,53,76,55,93,92,41,40,83,77,85,80,74,82,30,70,30,0,dwight-howard
谢克·米尔顿,SF,1,2,79,91,85,75,88,30,65,38,41,77,40,47,84,30,60,73,83,75,40,63,0,shake-milton
富尔坎·科尔克马兹,PF,4,2,72,60,79,80,78,40,64,31,57,56,46,45,70,40,75,74,80,70,45,45,0,furkan-korkmaz
泰雷斯·马克西,PG,3,2,76,94,83,71,88,50,79,33,51,75,42,45,84,25,55,73,77,75,65,55,0,tyrese-maxey
马蒂斯·塞布尔,SG,4,2,74,62,58,73,61,69,87,36,39,58,98,82,70,35,70,76,80,25,85,30,0,matisse-thybulle
乔治·希尔,PG,4,3,78,75,79,79,84,48,75,37,40,79,46,40,79,25,45,77,79,80,70,50,0,george-hill
以赛亚·乔,SF,5,3,71,80,76,82,85,42,69,37,42,56,38,60,69,40,60,73,87,65,55,37,0,isaiah-joe
保罗·里德,C,3,3,69,70,70,66,74,69,43,74,69,44,64,78,64,80,70,64,80,35,40,37,0,paul-reed
迈克·斯科特,PF,4,3,70,88,73,76,77,67,65,33,66,38,42,40,69,70,70,68,82,50,50,40,0,mike-scott
梅森·琼斯,SG,4,3,73,71,84,85,65,54,69,34,73,65,40,25,70,25,65,66,80,70,45,64,0,mason-jones
