name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
乔尔·恩比德,C,1,1,95,90,95,80,85,91,64,86,95,59,53,85,85,90,80,79,76,98,93,97,1,joel-embiid
本·西蒙斯,PG,2,1,86,85,46,58,61,79,87,52,73,83,83,57,90,83,86,88,83,90,90,90,0,ben-simmons
托拜厄斯·哈里斯,PF,1,1,87,96,95,85,89,59,58,42,75,75,42,62,85,65,75,77,82,90,60,73,1,tobias-harris
塞思·库里,SG,5,1,76,84,91,87,91,25,57,28,44,70,41,37,75,25,36,74,80,75,35,50,0,seth-curry
丹尼·格林,SF,5,1,76,80,76,84,77,66,87,41,53,62,70,67,67,40,45,73,82,40,85,35,0,danny-green
德怀特·霍华德,C,2,2,80,90,69,68,58,76,55,93,95,41,40,83,77,85,80,74,82,30,70,30,0,dwight-howard
谢克·米尔顿,SF,1,2,78,88,88,78,83,30,65,37,45,78,41,47,84,30,60,73,83,75,40,63,0,shake-milton
富尔坎·科尔克马兹,PF,4,2,76,68,69,81,73,40,64,33,49,59,70,45,77,40,75,74,80,80,45,59,0,furkan-korkmaz
泰雷斯·马克西,PG,3,2,77,95,79,69,86,50,79,31,49,75,40,50,84,25,55,73,77,80,65,55,0,tyrese-maxey
马蒂斯·塞布尔,SG,4,2,74,48,48,75,60,60,85,38,44,47,98,83,65,35,70,75,80,25,85,25,0,matisse-thybulle
乔治·希尔,PG,4,3,77,75,79,80,78,48,75,40,43,77,41,45,79,25,45,77,79,80,70,50,0,george-hill
以赛亚·乔,SF,5,3,71,80,76,82,85,42,69,37,42,56,38,60,69,40,60,73,87,65,55,37,0,isaiah-joe
保罗·里德,C,3,3,71,70,70,66,74,69,43,74,69,44,64,78,64,80,70,64,80,35,40,57,0,paul-reed
迈克·斯科特,PF,4,3,70,88,73,77,77,67,65,32,62,39,43,45,69,70,70,68,82,50,50,40,0,mike-scott
梅森·琼斯,SG,4,3,73,71,84,85,65,54,69,34,73,65,40,25,70,25,65,66,80,70,45,64,0,mason-jones
