name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
安东尼·爱德华兹,Anthony Edwards,SG,4,1,95,92,79,87,84,59,87,36,63,76,43,56,96,50,97,87,83,98,85,95
朱利叶斯·兰德尔,Julius Randle,PF,1,1,88,92,91,79,83,77,73,62,74,76,46,47,92,85,80,81,84,98,75,92
鲁迪·戈贝尔,Rudy Gobert,C,2,1,83,57,54,25,68,90,64,83,84,53,40,80,57,85,75,73,81,40,95,70
杰登·麦克丹尼尔斯,Jaden McDaniels,SF,1,1,83,89,90,84,83,83,90,52,62,40,63,66,84,40,75,80,90,50,90,37
纳兹·里德,Naz Reid,C,4,2,82,91,79,82,78,78,54,47,75,57,41,71,75,80,80,74,80,80,75,75
唐特·迪文琴佐,Donte DiVincenzo,PG,1,1,78,76,81,84,79,58,82,36,60,75,70,50,80,25,75,84,81,50,80,52
迈克·康利,Mike Conley,PG,5,2,77,70,70,85,91,31,83,35,47,80,70,42,72,25,30,77,82,40,80,60
杰伦·克拉克,Jaylen Clark,SG,4,2,74,86,67,79,77,52,81,53,37,51,89,35,73,50,70,77,79,50,75,39
邦斯·海兰德,Bones Hyland,PG,5,3,73,84,79,81,89,30,66,37,47,71,82,62,80,25,60,74,80,55,55,41
小特伦斯·香农,Terrence Shannon Jr.,SF,3,2,73,80,76,75,81,49,72,43,55,66,38,57,80,40,85,80,80,65,50,49
罗布·迪林汉姆,Rob Dillingham,PG,4,3,73,87,60,76,73,34,63,38,44,70,56,25,77,30,75,79,80,50,50,45
乔·英格尔斯,Joe Ingles,PF,5,2,73,64,65,86,86,58,80,34,56,73,53,35,80,40,45,72,80,35,75,40
约翰尼·朱赞,Johnny Juzang,SF,1,3,72,89,89,81,83,50,58,43,54,51,42,40,71,35,75,71,80,50,50,44
莱昂纳德·米勒,Leonard Miller,PF,1,3,70,74,70,72,83,57,63,52,71,48,52,57,75,65,85,74,80,50,40,37
乔安·贝林格,Joan Beringer,PF,2,3,70,69,45,26,57,73,40,69,70,42,35,80,70,85,80,73,80,40,40,40
恩里克·弗里曼,Enrique Freeman,PF,1,3,69,74,66,66,67,66,66,40,57,50,35,56,74,60,80,78,80,30,50,40
罗科·齐卡尔斯基,Rocco Zikarsky,C,2,3,68,70,50,39,62,68,52,70,70,43,48,74,57,75,65,57,80,50,50,54
