name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
特雷·杨,PG,1,1,87,88,80,83,88,31,55,36,51,90,40,40,90,25,30,79,86,95,30,94,0,trae-young
约翰·科林斯,PF,1,1,85,87,86,82,85,74,49,63,73,50,33,67,82,95,93,80,84,95,60,72,0,john-collins
克林特·卡佩拉,C,2,1,86,83,60,25,55,84,53,95,97,37,40,90,78,95,80,79,83,85,80,74,0,clint-capela
德安德烈·亨特,SG,1,1,81,84,85,81,87,63,81,40,64,61,42,53,68,65,70,78,80,85,75,65,0,deandre-hunter
达尼罗·加里纳利,SF,5,1,81,75,73,81,93,69,56,30,63,63,38,35,76,45,75,70,75,75,65,80,0,danilo-gallinari
波格丹·波格丹诺维奇,SF,5,2,76,84,84,80,72,51,63,30,63,71,36,35,78,50,65,74,77,70,50,44,0,bogdan-bogdanovic
奥涅卡·奥孔古,C,2,2,75,73,60,60,72,79,64,62,72,47,59,81,70,85,75,78,83,40,65,57,0,onyeka-okongwu
凯文·赫尔特,SG,5,2,76,83,82,82,82,44,64,36,49,73,56,37,73,30,65,76,83,75,35,45,0,kevin-huerter
卡姆·雷迪什,PF,4,2,74,54,70,73,82,55,81,41,54,63,66,51,73,50,80,77,80,35,75,52,0,cameron-reddish
路易斯·威廉姆斯,PG,1,2,80,76,75,83,87,25,60,35,48,79,56,32,80,25,45,70,77,90,45,80,1,lou-williams
布鲁诺·费尔南多,C,2,3,72,53,65,42,55,64,44,70,76,52,40,55,75,85,78,81,80,60,40,60,0,bruno-fernando
托尼·斯内尔,SG,4,3,75,70,75,86,88,40,78,40,48,62,30,53,63,35,75,72,82,40,70,44,0,tony-snell
克里斯·邓恩,PG,4,3,76,84,79,65,74,40,85,34,63,79,96,52,81,40,55,78,84,50,80,44,0,kris-dunn
所罗门·希尔,SF,4,3,70,84,67,74,71,48,78,40,51,53,53,45,74,30,65,72,81,55,60,54,1,solomon-hill
