name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
杰拉米·格兰特,SF,1,1,83,75,76,81,89,70,69,35,62,68,37,67,89,80,85,81,82,95,75,82,0,jerami-grant
萨迪克·贝,PF,4,1,78,67,78,84,85,64,75,37,73,55,42,27,77,45,60,71,81,75,60,65,0,saddiq-bey
梅森·普拉姆利,C,2,1,80,85,75,58,69,74,46,72,86,61,43,67,79,80,80,71,83,75,75,79,0,mason-plumlee
韦恩·艾灵顿,SG,5,1,76,82,79,85,72,38,60,31,43,65,35,47,77,35,50,71,80,85,40,59,0,wayne-ellington
德朗·赖特,PG,4,1,77,57,65,81,79,33,75,45,60,81,73,56,79,25,60,76,84,80,55,65,0,delon-wright
贾利尔·奥卡福,C,2,2,76,85,82,28,64,66,33,77,70,52,35,76,77,90,60,71,84,85,35,85,0,jahlil-okafor
丹尼斯·史密斯,PG,1,2,76,63,65,72,51,25,66,41,49,79,88,72,76,25,85,76,80,65,45,60,0,dennis-smith-jr
以赛亚·斯图尔特,PF,2,2,76,89,69,60,69,70,54,90,79,42,43,84,74,75,70,75,77,65,50,64,0,isaiah-stewart
哈米杜·迪亚洛,SG,3,2,77,80,73,71,63,40,65,50,68,74,56,53,84,45,93,80,81,75,40,45,0,hamidou-diallo
约什·杰克逊,SF,4,2,76,79,70,74,69,62,74,47,64,57,53,72,82,55,75,77,80,75,55,69,0,josh-jackson
塞古·敦布亚,PF,4,3,72,60,67,69,72,64,60,46,66,49,43,37,75,75,85,84,80,40,40,50,0,sekou-doumbouya
基里安·海斯,SG,1,3,73,65,70,71,84,49,69,28,39,79,33,30,74,25,60,76,83,50,55,50,0,killian-hayes
萨宾·李,PG,3,3,75,80,74,76,63,44,60,36,42,76,86,53,82,25,85,72,79,75,30,69,0,saben-lee
