name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
斯科蒂·巴恩斯,Scottie Barnes,PF,1,1,88,80,92,84,86,80,80,62,76,76,66,85,86,80,80,85,80,90,85,86
布兰登·英格拉姆,Brandon Ingram,SF,3,1,86,97,97,74,88,54,69,35,69,71,41,57,90,65,80,73,85,95,40,74
RJ·巴雷特,R.J. Barrett,SG,1,1,82,95,80,77,72,58,81,40,62,76,41,47,88,45,80,83,80,80,75,80
伊曼纽尔·奎克利,Immanuel Quickley,PG,5,1,81,84,87,81,76,37,80,36,57,77,56,25,80,40,55,78,79,85,75,60
雅各布·珀尔特尔,Jakob Poeltl,C,2,1,80,96,79,45,55,81,45,88,73,56,41,66,73,75,60,64,80,60,80,60
桑德罗·马穆凯拉什维利,Sandro Mamukelashvili,PF,4,2,77,82,69,81,80,65,50,56,65,62,41,62,69,65,65,71,80,70,45,54
科林·默里-博伊尔斯,Collin Murray-Boyles,C,1,2,76,67,70,79,71,72,74,72,48,57,56,62,78,55,75,82,80,55,65,67
格雷迪·迪克,Gradey Dick,SG,5,2,76,70,85,77,81,55,73,37,56,53,43,25,74,35,75,76,80,50,55,66
贾马尔·希德,Jamal Shead,PG,4,2,75,73,73,85,75,34,77,36,44,80,53,25,74,25,50,82,80,60,50,40
贾米森·巴特尔,Jamison Battle,SF,5,2,74,85,85,85,83,58,58,44,56,45,33,47,70,40,65,65,80,70,40,49
贾科比·沃尔特,Ja’Kobe Walter,SF,4,3,74,86,78,78,75,47,66,53,41,59,56,47,79,35,75,79,80,50,50,45
乔纳森·莫格博,Jonathan Mogbo,C,1,3,74,60,53,70,70,64,64,67,67,61,56,66,80,60,80,81,80,50,60,55
AJ·劳森,A.J. Lawson,SG,4,3,73,75,68,76,66,48,60,46,62,55,41,53,80,45,75,72,80,65,50,54
奥凯·阿格巴吉,Ochai Agbaji,PF,5,3,73,82,83,83,69,57,78,42,54,51,43,56,78,65,80,81,80,35,65,40
加勒特·坦普尔,Garrett Temple,SG,4,3,70,82,55,72,79,46,78,58,51,65,59,47,70,25,30,68,82,40,70,40
阿利亚·马丁,Alijah Martin,SG,4,3,69,76,70,76,76,48,71,40,55,62,70,56,76,25,85,82,80,35,65,49
查基·赫普本,Chucky Hepburn,PG,1,3,68,70,71,73,81,30,79,36,43,75,84,32,72,25,40,73,80,40,70,74
